Country,"Inflation, consumer prices (annual %)",Urbanization (%),FDI (% of GDP),"GDP per capita, PPP (current international $)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Tax revenue (% of GDP),Individuals using the Internet (% of population),Trade Openness (% of GDP),Rule of Law Score,Government Effectiveness,Regulatory Quality,Real GDP Growth (% Change),Voice and Accountability: Estimate,Political Stability and Absence of Violence/Terrorism: Estimate,"Central government debt, total (% of GDP)",External debt stocks (% of GNI),Public and publicly guaranteed debt service (% of exports),RSF_PressFreedomIndex,RSF_PressFreedomIndex_PoliticalScore,RSF_PressFreedomIndex_EconomicScore,RSF_PressFreedomIndex_LegalScore,RSF_PressFreedomIndex_SocialScore,RSF_PressFreedomIndex_SafetyScore,ECI,CPI score 2022,LiteracyRate_TotalPopulation_Pct,Gini_Index,Domestic credit to private sector (% of GDP)
Afghanistan,,26.616,,2122.99581512665,14.1,,,72.8854696086536,-1.65984559059143,-1.88003480434418,-1.27180624008179,-6.24017199240269,-1.75352871417999,-2.54495596885681,,,,"38,27","44,65","43,88","42,54","43,33","16,96",-1.1992977,24,37.3,31.0,
Albania,6.72520271530048,63.799,7.57934219388197,19429.9213167081,10.137,,82.6137,84.6980639208685,-0.165585100650787,0.0645405352115631,0.159353822469711,4.82668831434437,0.141740188002586,0.106261312961578,,56.1149373164299,9.18537797954845,"56,41","50,55","29,39","68,77","66,6","66,75",-0.25830767,36,99.0,29.42,33.79124601978
Angola,21.3552901320822,68.081,-6.32056384328187,7924.88880583905,14.602,,39.2935,69.6910705054094,-1.02203571796417,-1.02603423595428,-0.606698572635651,3.04472652391918,-0.807577967643738,-0.630108535289764,,61.2185509834012,30.3800197632965,"57,17","52,83","35,03","61,11",73,"63,87",-0.46885175,33,72.0,51.27,8.62886678212951
Argentina,,92.347,2.402155349277,29597.6938429264,6.805,11.1228688536464,88.3754,31.5477080051071,-0.482351809740067,-0.28348970413208,-0.697565734386444,5.26987967384072,0.546316981315613,-0.0985943302512169,,43.1079001903234,33.2585875077557,"77,28","76,36","51,53","90,68","85,75","82,06",-0.30046633,38,99.0,37.800000000000004,
Armenia,8.64091108973855,63.573,4.99991586140552,19161.370051419,13.379,21.8271552378304,77.0277,101.41077826094,-0.169515803456306,-0.314792364835739,-0.0190788023173809,12.5999999997766,0.0903258174657822,-0.740756273269653,46.5518225541677,85.3537763333843,18.0088551461692,"68,97","66,26","44,44","77,88","76,33","79,91",0.18379122,46,99.8,27.94,52.5538426755394
Bangladesh,7.69695437176898,39.711,0.355308723531372,8450.54902533944,4.593,,41.6152,33.7799672705735,-0.601690113544464,-0.763355314731598,-0.927658915519714,7.09982877575158,-0.753301620483398,-1.046462059021,,20.2787398342943,11.2392162165619,"36,63","42,12","32,48","44,15","48,5","15,88",-0.6551144,25,74.9,31.77,38.9555684288032
Belarus,15.209675274081,80.326,2.17745011943276,28429.4948814534,3.574,11.2335456198223,89.5073,120.024207576094,-1.22100031375885,-0.851723372936249,-1.33121407032013,-4.65839591573591,-1.62772846221924,-0.802096605300903,,56.8782499300184,14.1668733369699,"39,62","32,93","48,75","37,23","60,33","18,85",0.71532065,39,99.9,24.38,
Benin,1.35077863583527,49.534,2.16063891256477,3844.16493382584,1.685,,33.7602,50.93352007034,-0.596109390258789,-0.170590236783028,-0.348364651203156,6.25324491401346,-0.335694015026093,-0.34320268034935,,62.2447845188821,11.2178613332037,"48,39","47,73","28,19","57,46","55,5","53,1",-0.5983965,43,47.0,37.95,17.1000283524023
Bolivia,1.74632872945969,70.83,0.0141722868400141,10371.9629040947,3.552,,73.2831,67.755898784076,-1.30140423774719,-0.564738214015961,-1.21053624153137,3.60568038279472,-0.197485566139221,-0.191908553242683,,37.2776464521317,16.5189743121325,"47,58","44,55","33,67","58,77",45,"55,89",-1.045954,31,94.0,38.1,74.1868372639684
Botswana,11.665567478802,72.224,3.49190816493543,19977.6508534267,23.615,19.6487479969996,77.3272,85.6083027804928,0.459227591753006,0.439493864774704,0.621043562889099,5.48602817797183,0.449784100055695,1.0739837884903,,10.1291021495885,1.95325912382696,"58,49","56,97","37,24","56,36","69,75","72,11",-0.87245,60,88.5,53.33,29.8880270731178
Brazil,9.28010608956873,87.555,3.8221961533297,19876.8533546887,9.231,14.7258479184963,80.5278,38.8160659763397,-0.257879137992859,-0.588259339332581,-0.220437631011009,3.01669435393015,0.225268334150314,-0.395036935806274,79.1023218878495,31.1584322862462,29.9164040125887,"55,36","51,62","37,59","69,74",70,"47,86",-0.04367476,38,94.7,50.7,70.606097378297
Bulgaria,15.3252589264366,76.363,5.46200820001027,34826.6467213062,4.268,21.7256158413796,79.1269,138.84014681798,-0.107922710478306,-0.271232962608337,0.320686906576157,4.03877758301681,0.287512123584747,0.313428640365601,30.1997861927243,,,"59,12","54,95","30,1","68,71","66,83","75,02",0.7016596,43,98.4,40.480000000000004,44.7272898788277
Burkina Faso,14.2902354303358,31.877,3.55861030023451,2641.87011276969,5.389,17.6730517423342,19.9237,64.8438739203037,-0.611933767795563,-0.853148698806763,-0.468305677175522,1.4972397409897,-0.684045016765594,-1.81536936759949,62.5256115534246,54.6377766654475,17.5624284823319,"73,12","78,99","67,69","75,58","87,83","55,52",-0.5773888,42,46.0,43.02,31.3166768491206
Chad,5.78802687843616,24.063,,1808.83862023181,1.096,,12.1839,89.722949365026,-1.37356173992157,-1.42367351055145,-1.14935708045959,2.80434074839411,-1.47125339508057,-1.47040486335754,,26.5295568744086,7.59265460091035,"56,18","55,88","43,27","60,35","63,2","58,21",-2.4892201,19,27.0,37.5,
Chile,11.6438667110561,87.912,6.03627962411555,30944.6358694631,8.249,21.2736151328078,90.6769,74.9877802139767,0.688454449176788,0.546218276023865,0.978411138057709,2.05874008095333,0.976769387722015,0.13208432495594,,,,"60,61","65,03","42,86","67,63","72,4","55,15",-0.21626835,67,97.0,44.5,112.290235620988
Colombia,10.1772313546166,82.05,4.97568342327735,20643.2939203482,10.547,15.2778799254416,72.7964,48.0739778648801,-0.427760243415833,0.01379637978971,0.140449166297913,7.2888838865514,0.168687179684639,-0.62995833158493,70.1401840114914,55.8764353118704,33.8953291243213,"42,43","44,7","32,27","60,42","50,38","24,4",-0.08590589,39,95.6,51.5,44.2270358436482
Costa Rica,8.27477490232654,82.042,5.30504327929944,25936.7694125867,11.325,14.3541941094714,82.598,82.2275325353143,0.435932785272598,0.0526026673614979,0.567061722278595,4.55149177958398,1.07340776920319,0.956596434116364,71.1115764129093,60.3334664592797,8.71404176378746,"85,92","81,62","72,96","87,72","92,5","94,78",0.23769884,54,98.0,48.4,52.6621990605343
Ivory Coast,5.27616724262846,52.661,2.27881458136523,6707.9479515214,2.306,11.9446623106188,38.4133,53.4312191070311,-0.47401824593544,-0.333772420883179,-0.152012959122658,6.2178509127107,-0.393042325973511,-0.587266504764557,,46.8600779813366,11.7873575562185,"74,46","74,89","58,45","75,94","81,43","81,6",-1.013524,37,89.9,37.17,21.0767374471882
Croatia,10.7805806758686,58.219,5.51610421858619,41924.3254378426,6.96,21.6471590161233,82.0716,125.213857590974,0.36779710650444,0.581313610076904,0.502549886703491,7.28793643206565,0.616291224956512,0.672563254833221,83.0002554430717,,,"70,42","68,26","50,46","79,19","76,09","78,08",0.90565515,50,99.4,32.45,50.5419906019938
Cyprus,8.39548297993334,66.911,1.55020714842496,55972.41796875,6.806,23.3342708138957,89.601,201.237205778502,0.570125758647919,0.730335235595703,0.773753821849823,7.36562252428676,0.850350379943848,0.423811227083206,,,,"65,97","61,21","42,09","74,56","65,75","86,25",0.17040469,52,99.4,29.42,71.3598011077138
Czech Republic,15.1001651468371,74.377,3.02937517288668,51666.3927888807,2.224,12.6419883935481,84.5401,144.011494109397,1.1003965139389,1.09341883659363,1.38589835166931,2.84717065717149,1.04114127159119,0.814114570617676,,,,"80,54","79,66","61,56","84,21","88,44","88,81",1.7626604,56,99.0,24.8,48.6347695390782
Dominican Republic,8.81109209279587,83.848,3.56710752156703,24379.8733515798,5.504,13.8202744402643,84.3832,54.2315255592457,-0.0933533534407616,-0.0684610605239868,0.0695477873086929,4.85832403582451,0.313117146492004,0.249287635087967,,44.2742583314129,13.7446597768317,"76,9","71,52","62,24","85,96",92,"72,79",-0.011731069,32,95.5,38.2,27.9508638700304
Ecuador,3.46616972213077,64.57,0.755059961772552,15280.096372305,3.761,13.0383442764852,69.7181,61.6216623941869,-0.620780825614929,-0.309278339147568,-0.45972153544426,6.18613907258741,0.0273947101086378,-0.37122431397438,,53.614535021098,14.728183987124,"64,61","60,1","55,44","67,98","69,5","70,03",-0.96216965,36,93.9,44.7,52.1764431971076
Egypt,13.8956609775178,42.967,2.39118080969079,17526.8017030166,7.344,,72.1981,36.9831048772713,-0.26560452580452,-0.448231309652328,-0.713920831680298,6.58784560886967,-1.45044994354248,-0.978700578212738,,35.3791611645131,23.1591391923667,"30,23","30,91","23,47","34,87","44,25","17,64",-0.19998606,30,73.1,31.89,30.847002116672
El Salvador,7.19861615609867,74.767,0.0320261812840187,11858.0780641877,2.999,21.0838627874902,62.8885,88.1547423295316,-0.742217719554901,-0.321259051561356,-0.462724059820175,2.79955216943868,-0.371244877576828,-0.352474838495255,73.7611648033132,69.5888220193744,32.2434530300956,"54,09","42,94","39,07","63,22","62,86","62,37",0.08549129,33,90.0,38.76,62.3808722163174
Estonia,19.3982634080616,69.609,4.89320122469428,47761.8680185354,5.571,20.7588850528932,91.5202,174.563994182116,1.42628395557404,1.34263217449188,1.5589644908905,0.0604278323325786,1.20195424556732,0.727880895137787,24.9025836512859,,,"88,83","91,11","81,97","87,87",90,"93,2",0.95019597,74,99.9,31.900000000000002,57.0043935970351
Eswatini,,24.576,0.284327760848015,10434.4813469258,35.359,,58.2502,,-0.645428061485291,-0.781404197216034,-0.718993604183197,-0.0676192583464115,-1.22105753421783,-0.210463792085648,,28.3436482621601,3.82919492552606,"46,42","41,31","35,03","43,86","50,5","61,4",-0.08704377,30,89.0,54.58,21.5760187911061
Ethiopia,33.8898797100898,22.661,2.89493814042439,2844.90683529484,3.409,4.49688526014635,19.3781,26.5955012290858,-0.635894060134888,-0.791824162006378,-0.94841742515564,5.32117628383672,-1.04841494560242,-2.07060623168945,,24.2744253977706,18.2791956138983,"50,53","50,65","45,77","63,66","57,29","35,29",-0.7999168,38,51.8,33.0,
Finland,7.12350773301402,85.681,4.67298550552399,61293.0471843923,6.719,21.200267544453,92.9888,94.132058739535,1.95789980888367,1.75458240509033,1.77915287017822,1.4500480727209,1.60676980018616,0.894830107688904,,,,"88,42","90,4","82,03","86,64","90,77","92,26",1.3391854,87,100.0,41.26,96.2017706031775
Gabon,4.23124798274579,90.735,,19992.5570642927,20.399,,73.6951,92.0630888500131,-0.823756873607635,-0.685424149036407,-0.702257215976715,3.03761449502689,-0.880173981189728,0.0603694021701813,,42.0199373621853,,56,"48,38","39,46","56,14","65,5","70,52",-1.4805977,29,86.0,38.02,
Georgia,11.8981654203198,60.297,9.15328575552963,22461.3326414548,11.647,22.9022783420258,78.7113,114.695437688718,0.16946941614151,0.650143086910248,1.0323086977005,10.9585321385624,0.0156398266553879,-0.43653005361557,42.9693933571232,104.075737472995,22.6688350975514,"59,3","52,42","46,43","80,79","75,5","41,34",-0.057847843,56,100.0,34.18,63.0529057506879
Germany,6.87257438551097,77.648,1.5066061525701,67533.0528581721,3.12,11.0108628299,91.6298,89.0641273695259,1.53199517726898,1.28929960727692,1.52229499816895,1.36973105536585,1.41448700428009,0.628491878509521,,,,"82,04","87,03","80,07","87,08","89,47","66,58",1.9266979,79,99.0,41.38,81.807984622583
Ghana,31.2558951049016,58.615,1.92344065685952,7209.03673375227,3.084,12.2975358062853,69.8405,70.1154557958907,-0.0795473381876945,-0.106421269476414,-0.178818702697754,3.81750462109567,0.400153130292892,-0.195024788379669,,58.463230531715,17.8712795252518,"67,43","66,61","47,22","81,42","79,64","62,25",-0.70736265,43,80.0,43.52,13.2885237880865
Greece,9.64525981280632,80.357,3.63119902887991,38936.3375130315,12.426,27.6419741079546,83.1707,107.679207902405,0.325134873390198,0.446967661380768,0.464378982782364,5.74364918958959,0.956881701946259,0.106463775038719,202.079135428522,,,"55,52","60,5","38,13","69,54","65,36","44,1",0.22135136,52,97.9,38.47,52.2433551193593
Guinea,10.4930409984424,37.668,3.30630355394451,4062.36136437923,5.267,,33.923,94.1652726931221,-1.09771931171417,-0.914215862751007,-1.05010461807251,3.97240784200721,-1.08316206932068,-0.838682115077972,,25.9403143689836,2.35056941377385,"59,82","59,26","47,05","71,15","70,67","50,96",-2.1114068,25,45.3,29.59,
Honduras,9.08963911525025,59.6,2.41292398026651,6805.4935829456,8.774,,59.7135,112.698524913966,-1.0175416469574,-0.86729633808136,-0.485292732715607,4.14356194013767,-0.49105179309845,-0.568361818790436,,43.1693699471804,17.2972230971364,"34,61","33,33","31,63","36,84",31,"40,22",-0.5753976,23,88.5,53.5,70.1021060078611
Hungary,14.6081439492433,72.552,-1.1227943982934,43665.1934458497,3.609,23.4281197043669,89.1428,185.271113216624,0.422067135572433,0.533869922161102,0.406537681818008,4.58340767295068,0.425347447395325,0.678676307201385,75.5259534751362,,,"59,8","47,07","32,31","67,25","67,33","85,03",1.5066137,42,99.1,30.05,36.0413241371957
India,6.69903414079852,35.872,1.48921120524648,9153.88084185646,4.822,6.71965605554655,,49.9653199690324,0.113943412899971,0.369541674852371,-0.0504464171826839,6.9870393257555,0.0458774901926517,-0.615027368068695,,18.3828489244349,8.26658065989597,41,"40,76","30,36","57,02","56,25","20,61",0.49066436,40,76.0,37.06,
Indonesia,4.20946383402165,57.934,1.87267638101123,14284.9594238784,3.462,11.6048416991284,66.4846,45.4658986816744,-0.1881303191185,0.436147511005402,0.205959960818291,5.30741934775764,0.14396958053112,-0.553894221782684,45.3365569338996,30.8716647318756,23.3262163276477,"49,27","45,91","41,33","55,7",66,"37,42",-0.18175171,34,96.0,37.92,35.2890995275057
Islamic Republic of Iran,43.4884641742179,76.807,0.0253573727513357,16424.3773866975,9.085,,81.717,51.597506811024,-1.01758456230164,-0.882911622524261,-1.59271132946014,3.77663140152906,-1.4606020450592,-1.62561237812042,,2.29121870507348,0.169367435583114,"23,22","30,71","21,32","26,71","23,78","13,61",-0.15773574,25,89.0,40.94,
Ireland,7.82945736434105,64.183,-6.48520600331755,137230.866174806,4.501,16.7857030010673,95.5905,232.129490581307,1.52677750587463,1.5485702753067,1.63956081867218,8.61950355191492,1.45429503917694,0.88466739654541,45.400258888176,,,"88,3","89,24","79,08","85,09","92,5","95,58",1.4747884,77,99.0,35.480000000000004,25.4313711947437
Israel,4.39359665912654,92.763,4.38689176804983,53567.3818901397,3.695,25.0113073628509,91.8508,60.5046618476397,0.944517552852631,1.23610758781433,1.20628762245178,6.47037150232485,0.677817583084106,-1.22896540164948,,,,"59,62","65,15","55,1","53,51","77,75","46,61",1.2017292,63,97.8,47.4,70.1662884885209
Italy,8.20128991161718,71.657,2.98280776340516,56171.5481336644,8.069,24.4965223539924,85.0607,72.0531919277732,0.296974033117294,0.448645293712616,0.510931491851807,4.66176265113695,1.07431793212891,0.466298222541809,,,,"68,16","65,89","47,52","73,93",80,"73,48",1.4565064,56,99.2,38.18,69.6223223507776
Jamaica,10.3495688391272,57.008,1.86419733640372,10790.1333004334,4.083,,85.1185,,-0.070953443646431,0.603865921497345,0.190213531255722,5.22151984737387,0.59103798866272,0.364242792129517,,94.3244704707438,21.5545406482534,"83,35","74,85","71,94","82,46",95,"92,52",-0.43110257,44,88.7,37.480000000000004,50.8255647840625
Japan,2.49770278172255,91.955,1.12781929281189,47366.3368944357,2.6,,84.9234,46.8437321391913,1.55796921253204,1.61941540241241,1.43877255916595,0.954736937781391,1.02100276947021,1.0326372385025,216.213375459903,,,"64,37","54,66","53,7","66,23","67,06","80,19",2.2851527,73,99.0,33.4,196.831842055378
Kazakhstan,15.0278644440851,57.99,2.25169814661934,35895.0839871669,4.86,12.0616921106992,92.2969,68.3343147415612,-0.474670082330704,0.142756044864655,-0.0112340543419123,3.19999999970734,-1.06711661815643,-0.4683538377285,21.3547830101811,80.4947506076646,44.7263382025498,"48,28","43,52","29,8","51,93","52,3","63,85",-0.3559345,36,100.0,27.79,25.0218936908865
Kenya,7.65986268272224,29.002,0.691645983068062,5883.22303961924,5.707,14.5993496343343,40.8137,33.6911387270322,-0.317989438772202,-0.329533219337463,-0.380829960107803,4.85998104287999,-0.150899544358253,-0.947280883789062,,37.210443281998,23.6732133721051,"64,59","62,42","46,33","72,28",78,"63,92",-0.24720798,32,83.0,38.7,31.2584163915549
South Korea,5.08951365062842,81.427,1.49617378306838,50792.0114044798,2.857,18.4445796703636,97.1686,96.5364092886865,1.1581643819809,1.34904730319977,1.1452225446701,2.61267219187226,0.878113925457001,0.579976737499237,51.1791323198157,,,"72,11","71,15","55,31","72,81","79,8","81,5",2.123311,63,98.8,40.5,174.967769247283
Kyrgyzstan,13.9229093174176,37.461,0.451992680624909,6577.51264877534,4.043,19.5419794530385,79.7703,133.786718048766,-1.14770913124084,-0.890511035919189,-0.63258820772171,8.96750520041391,-0.730020940303802,-0.471610426902771,47.085480540382,89.1225670738856,16.6877462903431,"64,25","59,9","48,64","68,86",69,"74,83",0.059186075,27,99.6,28.990000000000002,20.7968569789079
